city;city_ibge_code;confirmed;confirmed_per_100k_inhabitants;date;death_rate;deaths;estimated_population_2019;is_last;order_for_place;place_type;state
NA;33;103493; 599,44015;2020-06-24;0,0898;9295;17264943;TRUE;104;state;RJ
Angra dos Reis;3300100;  1908; 936,28088;2020-06-23;0,0393;  75;  203785;TRUE; 86;city;RJ
AperibÃ©;3300159;    69; 586,78459;2020-06-23;0,0145;   1;   11759;TRUE; 62;city;RJ
Araruama;3300209;   303; 228,85196;2020-06-23;0,1122;  34;  132400;TRUE; 82;city;RJ
Areal;3300225;    82; 652,24308;2020-06-23;0,0122;   1;   12572;TRUE; 70;city;RJ
ArmaÃ§Ã£o dos BÃºzios;3300233;   372;1098,31709;2020-06-23;0,0134;   5;   33870;TRUE; 71;city;RJ
Arraial do Cabo;3300258;    67; 220,76510;2020-06-23;0,0597;   4;   30349;TRUE; 84;city;RJ
Barra do PiraÃ­;3300308;   341; 339,72941;2020-06-23;0,0674;  23;  100374;TRUE; 82;city;RJ
Barra Mansa;3300407;   389; 210,94072;2020-06-23;0,0746;  29;  184412;TRUE;103;city;RJ
Belford Roxo;3300456;  1329; 260,12613;2020-06-23;0,1226; 163;  510906;TRUE; 90;city;RJ
Bom Jardim;3300506;    45; 163,95832;2020-06-23;0,0444;   2;   27446;TRUE; 78;city;RJ
Bom Jesus do Itabapoana;3300605;   104; 280,35368;2020-06-23;0,0192;   2;   37096;TRUE; 75;city;RJ
Cabo Frio;3300704;   700; 309,01666;2020-06-23;0,0471;  33;  226525;TRUE; 78;city;RJ
Cachoeiras de Macacu;3300803;   289; 490,35411;2020-06-23;0,0623;  18;   58937;TRUE; 75;city;RJ
Cambuci;3300902;    47; 303,12802;2020-06-23;0,0000;   0;   15505;TRUE; 41;city;RJ
Campos dos Goytacazes;3301009;  1561; 307,55712;2020-06-23;0,0525;  82;  507548;TRUE; 92;city;RJ
Cantagalo;3301108;    19;  94,18997;2020-06-23;0,0526;   1;   20172;TRUE; 76;city;RJ
Carapebus;3300936;    94; 576,65174;2020-06-23;0,0106;   1;   16301;TRUE; 70;city;RJ
Cardoso Moreira;3301157;    82; 639,47594;2020-06-23;0,0000;   0;   12823;TRUE; 47;city;RJ
